[2026-03-26T14:02:20.162+0900][2.519s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 230M->78M(256M) 2.535ms
[2026-03-26T14:02:20.162+0900][2.519s][info][gc,cpu      ] GC(11) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:20.658+0900][3.015s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-26T14:02:20.658+0900][3.015s][info][gc,task     ] GC(12) Using 6 workers of 13 for evacuation
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.2ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 1.0ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.5ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,phases   ] GC(12)   Other: 0.1ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,heap     ] GC(12) Eden regions: 152->0(144)
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,heap     ] GC(12) Survivor regions: 1->1(20)
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,heap     ] GC(12) Old regions: 0->0
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,heap     ] GC(12) Humongous regions: 96->96
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,metaspace] GC(12) Metaspace: 309K(512K)->309K(512K) NonClass: 292K(384K)->292K(384K) Class: 17K(128K)->17K(128K)
[2026-03-26T14:02:20.658+0900][3.017s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 248M->96M(256M) 2.496ms
[2026-03-26T14:02:20.658+0900][3.017s][info][gc,cpu      ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:21.106+0900][3.462s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-26T14:02:21.106+0900][3.462s][info][gc,task     ] GC(13) Using 6 workers of 13 for evacuation
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.1ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 1.4ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.3ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,phases   ] GC(13)   Other: 0.1ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,heap     ] GC(13) Eden regions: 141->0(127)
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,heap     ] GC(13) Survivor regions: 1->1(19)
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,heap     ] GC(13) Old regions: 0->0
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,heap     ] GC(13) Humongous regions: 114->114
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,metaspace] GC(13) Metaspace: 309K(512K)->309K(512K) NonClass: 292K(384K)->292K(384K) Class: 17K(128K)->17K(128K)
[2026-03-26T14:02:21.108+0900][3.465s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 255M->114M(257M) 2.425ms
[2026-03-26T14:02:21.108+0900][3.465s][info][gc,cpu      ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[2026-03-26T14:02:21.171+0900][3.527s][info][gc,start    ] GC(14) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2026-03-26T14:02:21.171+0900][3.527s][info][gc,task     ] GC(14) Using 6 workers of 13 for evacuation
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.2ms
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.1ms
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 1.1ms
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.3ms
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,phases   ] GC(14)   Other: 0.1ms
[2026-03-26T14:02:21.173+0900][3.529s][info][gc,heap     ] GC(14) Eden regions: 23->0(127)
